lemma,total_count,unique_comments,words
01:44pm,1,1,01:44pm
01:46,1,1,01:46
01:54:27,1,1,01:54:27
01:58:28,1,1,01:58:28
01th,1,1,01th
02,15,14,02
"02,2007",1,1,"02,2007"
"02,2014total",1,1,"02,2014total"
02.10.2011,1,1,02.10.2011
02.25.2011,1,1,02.25.2011
02.31.2013,1,1,02.31.2013
02/03/2013,1,1,02/03/2013
02/04/2012,1,1,02/04/2012
02/04/2014,1,1,02/04/2014
02/06/07,1,1,02/06/07
02/07,1,1,02/07
02/07/2011,1,1,02/07/2011
02/07/2012,1,1,02/07/2012
02/08/13,1,1,02/08/13
02/08/2011,1,1,02/08/2011
02/08/2011left,1,1,02/08/2011left
02/09/2014,1,1,02/09/2014
02/10/2011,1,1,02/10/2011
"02/10/2012,i",1,1,"02/10/2012,i"
02/11/2010.call,1,1,02/11/2010.called
02/11/2013,1,1,02/11/2013
02/12/2014,1,1,02/12/2014
02/12/2015,1,1,02/12/2015
02/14/14,1,1,02/14/14
02/14/2012,1,1,02/14/2012
02/15/14,1,1,02/15/14
02/18/2009,1,1,02/18/2009
02/21,1,1,02/21
02/21/2015,1,1,02/21/2015
02/23/2012,1,1,02/23/2012
02/23/2018,1,1,02/23/2018
"02/24/2014,i",1,1,"02/24/2014,i"
02/25/14,1,1,02/25/14
02/26/11,1,1,02/26/11
02/26/2018,1,1,02/26/2018
02/27/2013,1,1,02/27/2013
02/27/2015,1,1,02/27/2015
02/28/2011,1,1,02/28/2011
02/28/2015,1,1,02/28/2015
02/6/2015,1,1,02/6/2015
0200,1,1,0200
02012013,1,1,02012013
02042012,1,1,02042012
02072012,1,1,02072012
02172011,2,1,02172011
02222012”the,1,1,02222012”the
0232,1,1,0232
0233,1,1,0233
0236,1,1,0236
02745,1,1,02745
02:03:14,1,1,02:03:14
02:12:25,1,1,02:12:25
02:14:51,1,1,02:14:51
02:21:43total,1,1,02:21:43total
02:22:22,1,1,02:22:22
02:24:51,1,1,02:24:51
02:28:11,1,1,02:28:11
02:33:07,1,1,02:33:07
02:42:22,1,1,02:42:22
02:50:09,1,1,02:50:09
02:50:37total,1,1,02:50:37total
02:52:42,1,1,02:52:42
03,9,9,03
03-feb-2012,1,1,03-feb-2012
03-may-2011,1,1,03-may-2011
03/01/2004,1,1,03/01/2004
03/03/2012phone,1,1,03/03/2012phone
03/03/2015,1,1,03/03/2015
03/04/11,1,1,03/04/11
03/04/2011,1,1,03/04/2011
03/04/2015,1,1,03/04/2015
03/05/2009,1,1,03/05/2009
03/05/2013,3,3,03/05/2013
03/06/2014,1,1,03/06/2014
03/07/2018,1,1,03/07/2018
03/08/18,1,1,03/08/18
03/09/2012,1,1,03/09/2012
03/11,3,1,03/11
03/12)i,1,1,03/12)i
03/12/2014,1,1,03/12/2014
03/14/2014,1,1,03/14/2014
03/15,2,1,03/15
03/17/10,1,1,03/17/10
03/20/2018,1,1,03/20/2018
03/2011,1,1,03/2011
03/22/2013,3,1,03/22/2013
03/23/06,1,1,03/23/06
03/25/2013,1,1,03/25/2013
03/26/2018,1,1,03/26/2018
03/27/2015,1,1,03/27/2015
03/28/12,1,1,03/28/12
03/31/10,1,1,03/31/10
03/31/2013,3,3,03/31/2013
03072018:want,1,1,03072018:wanted
03092011,1,1,03092011
031111,1,1,031111
031411,1,1,031411
0333,1,1,0333
03801,1,1,03801
0386,1,1,0386
03:00,1,1,03:00
03:10:02,1,1,03:10:02
03:23:23,1,1,03:23:23
03:27:26,1,1,03:27:26
03:29:25total,1,1,03:29:25total
03:32:55,1,1,03:32:55
03:34:43,1,1,03:34:43
03:36:10,1,1,03:36:10
03:41:23,1,1,03:41:23
03:51:01,1,1,03:51:01
03:51:21,1,1,03:51:21
03:53:43,1,1,03:53:43
03:56:41,1,1,03:56:41
03:57:25,1,1,03:57:25
03b92615f,1,1,03b92615f
03t15:47:46.673for,1,1,03t15:47:46.673for
03t15:47:46.673we,1,1,03t15:47:46.673we
04,17,16,04
"04,2014",1,1,"04,2014"
04.02,1,1,04.02
04.21.09,1,1,04.21.09
04.february,1,1,04.february
04/01/08,1,1,04/01/08
04/01/2014,1,1,04/01/2014
04/03/2011,1,1,04/03/2011
04/04/2013,1,1,04/04/2013
04/06/2018,1,1,04/06/2018
04/08/2012,1,1,04/08/2012
04/09/04,1,1,04/09/04
04/09/2006,1,1,04/09/2006
04/09/2013,1,1,04/09/2013
04/09/2015,1,1,04/09/2015
04/11/2018,1,1,04/11/2018
04/12/2013,1,1,04/12/2013
04/13/15,2,1,04/13/15
04/13/2011,1,1,04/13/2011
04/14/2011,1,1,04/14/2011
04/15/2014,1,1,04/15/2014
04/16/09,1,1,04/16/09
04/19/10,1,1,04/19/10
04/2011,1,1,04/2011
04/23/2010,1,1,04/23/2010
04/23/2012,1,1,04/23/2012
04/25/2014,1,1,04/25/2014
04/27/13,1,1,04/27/13
04/29/09,1,1,04/29/09
04/30/2013,2,2,04/30/2013
04/30/2018,1,1,04/30/2018
040811,1,1,040811
04112013,1,1,04112013
04222012,1,1,04222012
04252013,1,1,04252013
0475,1,1,0475
04:12:29,1,1,04:12:29
04:20:20,1,1,04:20:20
04:25:32,1,1,04:25:32
04:25:37,1,1,04:25:37
04:26:23,1,1,04:26:23
04:31:36,1,1,04:31:36
04:32:55total,1,1,04:32:55total
04:34:52,1,1,04:34:52
04:35:00,1,1,04:35:00
04:52:25,1,1,04:52:25
04:54:28,1,1,04:54:28
04:54:32,1,1,04:54:32
04:57:30,1,1,04:57:30
04registration,1,1,04registration
04th,1,1,04th
05,9,8,05
"05,2010",1,1,"05,2010"
05.17.2011,1,1,05.17.2011
05.21.2010,1,1,05.21.2010
05/01/2012,2,1,05/01/2012
05/03/2010,1,1,05/03/2010
05/04/2015,1,1,05/04/2015
05/04/2018,1,1,05/04/2018
05/05/11,1,1,05/05/11
05/06,1,1,05/06
05/07/2010,1,1,05/07/2010
05/10/06,1,1,05/10/06
05/11/2011,1,1,05/11/2011
05/12/2011,1,1,05/12/2011
05/14/2012,1,1,05/14/2012
05/16/03,1,1,05/16/03
05/16/2014,1,1,05/16/2014
05/18/2011,1,1,05/18/2011
05/24/2006,1,1,05/24/2006
05/26/2009:-----original,1,1,05/26/2009:-----original
05/26/2015,1,1,05/26/2015
05/27/2011,1,1,05/27/2011
05/29/15,1,1,05/29/15
05/31/2011,1,1,05/31/2011
05/7/16,1,1,05/7/16
0500,1,1,0500
05032012,1,1,05032012
05072010-sent,1,1,05072010-sent
05082012,1,1,05082012
05092012-,1,1,05092012-
0528,1,1,0528
05495,1,1,05495
0584,1,1,0584
05:06:25,1,1,05:06:25
05:08:12,1,1,05:08:12
05:10:12,1,1,05:10:12
05:10:28,1,1,05:10:28
05:13:31,1,1,05:13:31
05:15:58,1,1,05:15:58
05:22subject,1,1,05:22subject
05:33:50,1,1,05:33:50
05:58,1,1,05:58
05:59:02,1,1,05:59:02
06,6,6,06
06-feb-2012,1,1,06-feb-2012
06.04.2015,1,1,06.04.2015
06.27.06,1,1,06.27.06
06.27.2013,1,1,06.27.2013
06/03/2011,1,1,06/03/2011
06/06/2013,1,1,06/06/2013
06/07/15,1,1,06/07/15
06/11/2012,1,1,06/11/2012
06/12/2015,1,1,06/12/2015
06/16/2011,1,1,06/16/2011
06/16/2014,1,1,06/16/2014
06/17/2014,1,1,06/17/2014
06/20/2009,1,1,06/20/2009
06/23/15order,1,1,06/23/15order
06/23/15purchase,1,1,06/23/15purchase
06/24/2014,1,1,06/24/2014
06/26/2012,2,2,06/26/2012
06/26/2014,1,1,06/26/2014
06/27/2006,1,1,06/27/2006
06/27/2014,1,1,06/27/2014
06/29/2011,1,1,06/29/2011
0602,1,1,0602
060211,1,1,060211
060412,1,1,060412
06052012,1,1,06052012
06053,1,1,06053
0618,1,1,0618
062,1,1,062
0649,1,1,0649
06:00,1,1,06:00
06:08:08,1,1,06:08:08
06:09:06,1,1,06:09:06
06:11,1,1,06:11
06:21:51,1,1,06:21:51
06:31:43,1,1,06:31:43
06:37,1,1,06:37
06:42:01,1,1,06:42:01
06:45,1,1,06:45
06:53:26,1,1,06:53:26
06:59,1,1,06:59
06th,2,1,06th
07,10,9,07
07.12.2010,1,1,07.12.2010
07.14.11,1,1,07.14.11
07/05/2011,1,1,07/05/2011
07/08,2,1,07/08
07/08/2012,1,1,07/08/2012
07/10/,1,1,07/10/
07/10/2014,1,1,07/10/2014
07/11/2011,1,1,07/11/2011
07/11/2012,1,1,07/11/2012
07/13/11,1,1,07/13/11
07/13/2012,1,1,07/13/2012
07/13/2014,1,1,07/13/2014
07/15/2014,1,1,07/15/2014
07/18/2014,2,2,07/18/2014
07/2/2011,1,1,07/2/2011
07/2006,1,1,07/2006
07/2010,1,1,07/2010
07/2011,1,1,07/2011
07/28/2011,1,1,07/28/2011
07/31/2009,1,1,07/31/2009
07/31/2013,2,2,07/31/2013
07101969,1,1,07101969
07122011,1,1,07122011
07132011,1,1,07132011
0719/2013,1,1,0719/2013
07202011,1,1,07202011
07212010my,1,1,07212010my
072414,1,1,072414
0725,1,1,0725
07262012,1,1,07262012
0728,1,1,0728
07775431,1,1,07775431
0780,1,1,0780
07:02:05total,1,1,07:02:05total
07:03:18,1,1,07:03:18
07:10,1,1,07:10
07:11:54,1,1,07:11:54
07:18:25,1,1,07:18:25
07:22:33,1,1,07:22:33
07:30:53,1,1,07:30:53
07:33,1,1,07:33
07:36:36total,1,1,07:36:36total
07:43,1,1,07:43
07:45,1,1,07:45
07:51:05,1,1,07:51:05
07:55:58,1,1,07:55:58
07:59:58,1,1,07:59:58
07t09:02:27.230,1,1,07t09:02:27.230
07th,2,2,07th
08,30,24,08
08'2013,2,2,08'2013
08-aug-2014,1,1,08-aug-2014
08.10.2011,1,1,08.10.2011
08/01/2013transaction,1,1,08/01/2013transaction
08/02/2011,1,1,08/02/2011
08/03/2010,1,1,08/03/2010
08/04/09,1,1,08/04/09
08/04/11,1,1,08/04/11
08/05/2011,1,1,08/05/2011
08/09/2014.since,1,1,08/09/2014.since
08/11/2010,1,1,08/11/2010
08/15/12,1,1,08/15/12
08/16/12,1,1,08/16/12
08/19/2014payment,1,1,08/19/2014payment
08/20/12,1,1,08/20/12
08/2011,1,1,08/2011
08/21/2013,1,1,08/21/2013
08/21/2014,1,1,08/21/2014
08/23/09,1,1,08/23/09
08/26/2014,1,1,08/26/2014
08/27/2014,1,1,08/27/2014
08/31/2009,1,1,08/31/2009
0808,1,1,0808
08192013,1,1,08192013
081website,1,1,081website
08212013,1,1,08212013
08272013,2,2,08272013
08282013,2,1,08282013
08282014,1,1,08282014
08302013,1,1,08302013
0841,1,1,0841
08585508515,1,1,08585508515
089assistant,1,1,089assistant
08:00,1,1,08:00
08:00:34,1,1,08:00:34
08:12,1,1,08:12
08:14:05,1,1,08:14:05
08:14:17,1,1,08:14:17
08:14:45,1,1,08:14:45
08:15,1,1,08:15
08:23:55,1,1,08:23:55
08:24:10total,1,1,08:24:10total
08:31:44,1,1,08:31:44
08:32:13,1,1,08:32:13
08:33:28,1,1,08:33:28
08:41:45,1,1,08:41:45
08:42:34,1,1,08:42:34
08:43,1,1,08:43
08:58:29,3,3,08:58:29
08sa0367immigration,1,1,08sa0367immigration
08th,2,2,08th
09,17,13,09
09.06.2013,1,1,09.06.2013
09/02/2014,1,1,09/02/2014
09/02/2014payment,1,1,09/02/2014payment
09/04/2013,1,1,09/04/2013
09/04/2014,1,1,09/04/2014
09/06,1,1,09/06
09/06/12,1,1,09/06/12
09/06/2011,1,1,09/06/2011
09/06/2013,4,1,09/06/2013
09/08/2014,1,1,09/08/2014
09/09/2010,2,1,09/09/2010
09/09/2011,1,1,09/09/2011
09/09/2013,1,1,09/09/2013
09/10,1,1,09/10
09/11,1,1,09/11
09/11/14,1,1,09/11/14
09/11/2013,2,2,09/11/2013
09/12/2013,2,1,09/12/2013
09/16/2014,1,1,09/16/2014
"09/19/2012,and",1,1,"09/19/2012,and"
09/21/08,1,1,09/21/08
09/21/13.herber,1,1,09/21/13.herber
09/21/2014,1,1,09/21/2014
09/23/2013,2,2,09/23/2013
09/23/2014,1,1,09/23/2014
09/24/13,1,1,09/24/13
09/24/2010,1,1,09/24/2010
09/25,1,1,09/25
09/25/2013,2,2,09/25/2013
09/27/2013,1,1,09/27/2013
09/30/11,2,1,09/30/11
09/june/2011,1,1,09/june/2011
09032013,1,1,09032013
0904,1,1,0904
0921,1,1,0921
0946,1,1,0946
09:02,1,1,09:02
09:08:19,1,1,09:08:19
09:11:00,1,1,09:11:00
09:13:08,1,1,09:13:08
09:13:56,1,1,09:13:56
09:17:43,1,1,09:17:43
09:20,1,1,09:20
09:23:40,1,1,09:23:40
09:28:04total,1,1,09:28:04total
09:37:05,1,1,09:37:05
09:38:50,3,3,09:38:50
09:40,1,1,09:40
09:43:02,1,1,09:43:02
09:43:51,1,1,09:43:51
09:45:14,1,1,09:45:14
09:47,1,1,09:47
09:50:24,1,1,09:50:24
09:54:31,1,1,09:54:31
09:59:11,1,1,09:59:11
09:59:19,1,1,09:59:19
09sa0018,1,1,09sa0018
09sa365,1,1,09sa365
09th,1,1,09th
0a5<br,1,1,0a5<br
0account_number,1,1,0account_number
0b(6,1,1,0b(6
0jb,15,15,0jb
0n,3,3,0n
0order_number,1,1,0order_number
0r,1,1,0r
1,663,478,1
1(202)282,1,1,1(202)282
1(514,1,1,1(514
1(518)5025346,1,1,1(518)5025346
1(800,3,3,1(800
1(800)964,1,1,1(800)964
1(832)268,1,1,1(832)268
1(911,1,1,1(911
1)(b)(6,1,1,1)(b)(6
1)b(6,2,2,1)b(6
1)fil,1,1,1)filed
1)payment,1,1,1)payment
1)you,1,1,1)you
"1,000",42,26,"1,000"
"1,000.00",2,2,"1,000.00"
"1,000.rpinon",1,1,"1,000.rpinon"
"1,007.65",1,1,"1,007.65"
"1,010",1,1,"1,010"
"1,018",1,1,"1,018"
"1,025",1,1,"1,025"
"1,030",1,1,"1,030"
"1,030.00",1,1,"1,030.00"
"1,053.74",1,1,"1,053.74"
"1,070",2,2,"1,070"
"1,070.00",1,1,"1,070.00"
"1,080",1,1,"1,080"
"1,100",3,3,"1,100"
"1,110",3,3,"1,110"
"1,110.00",1,1,"1,110.00"
"1,150.00",1,1,"1,150.00"
"1,172",1,1,"1,172"
"1,177",1,1,"1,177"
"1,200",4,3,"1,200"
"1,200.00",2,1,"1,200.00"
"1,200.00€.",1,1,"1,200.00€."
"1,2010",1,1,"1,2010"
"1,238",1,1,"1,238"
"1,250.00",3,2,"1,250.00"
"1,293",1,1,"1,293"
"1,306",1,1,"1,306"
"1,365",1,1,"1,365"
"1,365.00",2,1,"1,365.00"
"1,400",4,3,"1,400"
"1,405.00",1,1,"1,405.00"
"1,470.00",1,1,"1,470.00"
"1,500",20,20,"1,500"
"1,500.00",5,3,"1,500.00"
"1,500.00€.",1,1,"1,500.00€."
"1,506",1,1,"1,506"
"1,515",1,1,"1,515"
"1,560",1,1,"1,560"
"1,599.74",1,1,"1,599.74"
"1,599.74outstand",1,1,"1,599.74outstanding"
"1,599.74product_or_service",1,1,"1,599.74product_or_service"
"1,600",7,5,"1,600"
"1,648.00",2,2,"1,648.00"
"1,695.00",1,1,"1,695.00"
"1,700",5,4,"1,700"
"1,700.00",1,1,"1,700.00"
"1,712",1,1,"1,712"
"1,800",2,2,"1,800"
"1,849",1,1,"1,849"
"1,905",2,2,"1,905"
"1,905.00",2,2,"1,905.00"
"1,935",1,1,"1,935"
"1,980",1,1,"1,980"
1-,3,3,1-
1-hour,1,1,1-hour
1-scan,1,1,1-scan
1-to,1,1,1-to
1-year,2,2,1-year
1.0,2,2,1.0
1.0received,1,1,1.0received
"1.250,00",3,2,"1.250,00"
1.29,1,1,1.29
1.5,3,3,1.5
1.6,1,1,1.6
1.770,1,1,1.770
"1.770,00",1,1,"1.770,00"
1.800.814.1555,1,1,1.800.814.1555
1.b(6,1,1,1.b(6
1.christian,1,1,1.christian
1.pdf,2,2,1.pdf
1.will,1,1,1.will
1/02/2010,1,1,1/02/2010
1/08/08,1,1,1/08/08
1/10/11,1,1,1/10/11
1/10/12,1,1,1/10/12
1/11/08,1,1,1/11/08
1/12/15,1,1,1/12/15
1/13/11,1,1,1/13/11
1/15/2006,1,1,1/15/2006
1/15/2011,1,1,1/15/2011
1/15/2015,1,1,1/15/2015
1/16/18,1,1,1/16/18
1/17/08,1,1,1/17/08
1/17/11,1,1,1/17/11
1/17/2011,1,1,1/17/2011
1/18/15,1,1,1/18/15
1/18/2011,1,1,1/18/2011
1/19/11,1,1,1/19/11
1/19/2013,1,1,1/19/2013
1/19/2015,1,1,1/19/2015
1/19/2016,1,1,1/19/2016
1/2,11,7,1/2
1/2/18,1,1,1/2/18
1/20/11,1,1,1/20/11
1/20/15,1,1,1/20/15
1/23/14,1,1,1/23/14
